ID,dataset,orgfile,target,IndependentVars,ParameterNames,ParameterValues,FixedConstantValues,PySRFeatures,feature_name_map,complexity,loss,score,equation,sympy_format,restored_equation,orgpara_list,para_eq,para_list
P06,2,2.csv,omega,"[""k""]","[""d""]",[2.59637198],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",39,0.0024484387,2.289109135052241e-05,((((xv_a - (0.25737673 / (xv_a + ((xv_a + sin((xv_a + xv_a) ^ xv_a)) * (sin((xv_a + ((xv_a ^ xv_a) + xv_a)) * xv_a) + 2.146348))))) ^ -1.4665488) + 1.4949261) * xv_a) + -0.2392721,xv_a*((xv_a - 0.25737673/(xv_a + (xv_a + sin((xv_a + xv_a)**xv_a))*(sin(xv_a*(xv_a + xv_a + xv_a**xv_a)) + 2.146348)))**(-1.4665488) + 1.4949261) - 0.2392721,k*((k - 0.25737673/(k + (k + sin((2*k)**k))*(sin(k*(2*k + k**k)) + 2.146348)))**(-1.4665488) + 1.4949261) - 0.2392721,"[-0.239272100000000, 1.49492610000000, -0.257376730000000, 2.14634800000000, 2, -1, -1.46654880000000]",k*(p1 + (k + p2*(k + (k + sin((k*p4)**k))*(p3 + sin(k*(k*p4 + k**k))))**p5)**p6) + p0,"[p0, p1, p2, p3, p4, p5, p6]"
P06,2,2.csv,omega,"[""k""]","[""d""]",[2.59637198],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",35,0.0024486629,7.657181569618056e-06,(xv_a * (1.4878432 + ((xv_a - (0.21072984 / (sin(((xv_a + -0.014524872) + (xv_a + ((xv_a ^ xv_a) + 0.2043826))) * xv_a) + (sin(xv_a) + (xv_a - -1.4992803))))) ^ -1.4074887))) + -0.26293358,xv_a*((xv_a - 0.21072984/(xv_a + sin(xv_a) + sin(xv_a*(xv_a + xv_a + xv_a**xv_a - 0.014524872 + 0.2043826)) - 1*(-1.4992803)))**(-1.4074887) + 1.4878432) - 0.26293358,k*((k - 0.21072984/(k + sin(k) + sin(k*(2*k + k**k + 0.189857728)) + 1.4992803))**(-1.4074887) + 1.4878432) - 0.26293358,"[-0.262933580000000, 1.48784320000000, -0.210729840000000, 1.49928030000000, 0.189857728000000, 2, -1, -1.40748870000000]",k*(p1 + (k + p2*(k + p3 + sin(k) + sin(k*(k*p5 + k**k + p4)))**p6)**p7) + p0,"[p0, p1, p2, p3, p4, p5, p6, p7]"
P06,2,2.csv,omega,"[""k""]","[""d""]",[2.59637198],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",33,0.0024487004,0.00010404436999068079,((((xv_a - (0.21072984 / (sin(xv_a * (((xv_a + 0.2043826) + (xv_a ^ xv_a)) + xv_a)) + (sin(xv_a) + (xv_a - -1.4992803))))) ^ -1.4074887) + 1.4878432) * xv_a) + -0.26293358,xv_a*((xv_a - 0.21072984/(xv_a + sin(xv_a) + sin(xv_a*(xv_a + xv_a + xv_a**xv_a + 0.2043826)) - 1*(-1.4992803)))**(-1.4074887) + 1.4878432) - 0.26293358,k*((k - 0.21072984/(k + sin(k) + sin(k*(2*k + k**k + 0.2043826)) + 1.4992803))**(-1.4074887) + 1.4878432) - 0.26293358,"[-0.262933580000000, 1.48784320000000, -0.210729840000000, 1.49928030000000, 0.204382600000000, 2, -1, -1.40748870000000]",k*(p1 + (k + p2*(k + p3 + sin(k) + sin(k*(k*p5 + k**k + p4)))**p6)**p7) + p0,"[p0, p1, p2, p3, p4, p5, p6, p7]"
P06,2,2.csv,omega,"[""k""]","[""d""]",[2.59637198],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",31,0.00244921,0.00041526758576025885,((((xv_a - (0.23648335 / (sin((xv_a + ((xv_a + 0.16088739) + (xv_a ^ xv_a))) * xv_a) + (xv_a + 2.277876)))) ^ -1.4530249) + 1.4954405) * xv_a) + -0.2546326,xv_a*((xv_a - 0.23648335/(xv_a + sin(xv_a*(xv_a + xv_a + xv_a**xv_a + 0.16088739)) + 2.277876))**(-1.4530249) + 1.4954405) - 0.2546326,k*((k - 0.23648335/(k + sin(k*(2*k + k**k + 0.16088739)) + 2.277876))**(-1.4530249) + 1.4954405) - 0.2546326,"[-0.254632600000000, 1.49544050000000, -0.236483350000000, 2.27787600000000, 0.160887390000000, 2, -1, -1.45302490000000]",k*(p1 + (k + p2*(k + p3 + sin(k*(k*p5 + k**k + p4)))**p6)**p7) + p0,"[p0, p1, p2, p3, p4, p5, p6, p7]"
P06,2,2.csv,omega,"[""k""]","[""d""]",[2.59637198],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",29,0.002451245,0.00030608330191548287,-0.27664742 + ((((xv_a - (0.20495045 / ((xv_a + sin(xv_a * ((xv_a + xv_a) + (xv_a ^ xv_a)))) + 1.490661))) ^ -1.4008297) + 1.490661) * xv_a),xv_a*((xv_a - 0.20495045/(xv_a + sin(xv_a*(xv_a + xv_a + xv_a**xv_a)) + 1.490661))**(-1.4008297) + 1.490661) - 0.27664742,k*((k - 0.20495045/(k + sin(k*(2*k + k**k)) + 1.490661))**(-1.4008297) + 1.490661) - 0.27664742,"[-0.276647420000000, 1.49066100000000, -0.204950450000000, 2, -1, -1.40082970000000]",k*(p1 + (k + p2*(k + p1 + sin(k*(k*p3 + k**k)))**p4)**p5) + p0,"[p0, p1, p2, p3, p4, p5]"
P06,2,2.csv,omega,"[""k""]","[""d""]",[2.59637198],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",28,0.0024519954,6.606798469264572e-06,(((exp(xv_a - (0.2945857 / ((xv_a + sin(xv_a)) + sin((xv_a + xv_a) ^ xv_a)))) ^ -1.3668578) + 1.4527414) * xv_a) + 0.43811417,xv_a*(exp(xv_a - 0.2945857/(xv_a + sin(xv_a) + sin((xv_a + xv_a)**xv_a)))**(-1.3668578) + 1.4527414) + 0.43811417,k*(exp(k - 0.2945857/(k + sin(k) + sin((2*k)**k)))**(-1.3668578) + 1.4527414) + 0.43811417,"[0.438114170000000, 1.45274140000000, -0.294585700000000, 2, -1, -1.36685780000000]",k*(p1 + exp(k + p2*(k + sin(k) + sin((k*p3)**k))**p4)**p5) + p0,"[p0, p1, p2, p3, p4, p5]"
P06,2,2.csv,omega,"[""k""]","[""d""]",[2.59637198],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",25,0.002452044,0.00012639180319141082,(xv_a * (((xv_a - (0.25551823 / ((xv_a * 2.1465788) + sin((xv_a + xv_a) ^ xv_a)))) ^ -1.4706119) + 1.4979305)) + -0.24910577,xv_a*((xv_a - 0.25551823/(xv_a*2.1465788 + sin((xv_a + xv_a)**xv_a)))**(-1.4706119) + 1.4979305) - 0.24910577,k*((k - 0.25551823/(2.1465788*k + sin((2*k)**k)))**(-1.4706119) + 1.4979305) - 0.24910577,"[-0.249105770000000, 1.49793050000000, -0.255518230000000, 2.14657880000000, 2, -1, -1.47061190000000]",k*(p1 + (k + p2*(k*p3 + sin((k*p4)**k))**p5)**p6) + p0,"[p0, p1, p2, p3, p4, p5, p6]"
P06,2,2.csv,omega,"[""k""]","[""d""]",[2.59637198],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",17,0.0024545246,2.3833422223535513e-06,((((xv_a ^ xv_a) + 3.2449026) ^ -1.2664806) + 0.55978996) + (xv_a * 1.4265902),xv_a*1.4265902 + (xv_a**xv_a + 3.2449026)**(-1.2664806) + 0.55978996,1.4265902*k + (k**k + 3.2449026)**(-1.2664806) + 0.55978996,"[0.559789960000000, 3.24490260000000, -1.26648060000000, 1.42659020000000]",k*p3 + p0 + (k**k + p1)**p2,"[p0, p1, p2, p3]"
P06,2,2.csv,omega,"[""k""]","[""d""]",[2.59637198],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",13,0.002454548,3.3678807279687017e-06,((((xv_a * -0.18692015) + sqrt(xv_a)) + -0.08151763) * xv_a) + 1.5836929,xv_a*(sqrt(xv_a) - 0.18692015*xv_a - 0.08151763) + 1.5836929,k*(sqrt(k) - 0.18692015*k - 0.08151763) + 1.5836929,"[1.58369290000000, -0.0815176300000000, 1/2, -0.186920150000000]",k*(k*p3 + k**p2 + p1) + p0,"[p0, p1, p2, p3]"
P06,2,2.csv,omega,"[""k""]","[""d""]",[2.59637198],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",10,0.0024545728,1.8129263318233207e-05,(((xv_a * 2.4314127) - xv_a) / tanh(xv_a)) + 0.53745073,(-xv_a + xv_a*2.4314127)/tanh(xv_a) + 0.53745073,1.4314127*k/tanh(k) + 0.53745073,"[0.537450730000000, 1.43141270000000, -1]",k*p1*tanh(k)**p2 + p0,"[p0, p1, p2]"
