complexity,loss,equation,score,sympy_format,lambda_format
1,0.3350392,4.9895983,0.0,4.98959830000000,PySRFunction(X=>4.98959830000000)
3,0.010273093,xv_a * 1.6086555,1.7423596964272867,xv_a*1.6086555,PySRFunction(X=>xv_a*1.6086555)
5,0.0024720074,(xv_a * 1.3966298) + 0.66778433,0.7122488069658408,xv_a*1.3966298 + 0.66778433,PySRFunction(X=>xv_a*1.3966298 + 0.66778433)
7,0.0024550906,(xv_a + 0.9836421) ^ 1.1428945,0.0034334341379742214,(xv_a + 0.9836421)**1.1428945,PySRFunction(X=>(xv_a + 0.9836421)**1.1428945)
8,0.002454687,(xv_a * 1.4979157) + sin(atan(1.1554996 / xv_a)),0.00016440663255658984,xv_a*1.4979157 + sin(atan(1.1554996/xv_a)),PySRFunction(X=>xv_a*1.4979157 + sin(atan(1.1554996/xv_a)))
9,0.0024546173,((0.5168644 / xv_a) + (xv_a + 0.108505115)) * 1.4792452,2.8395062006902432e-05,(xv_a + 0.108505115 + 0.5168644/xv_a)*1.4792452,PySRFunction(X=>(xv_a + 0.108505115 + 0.5168644/xv_a)*1.4792452)
10,0.0024545728,(((xv_a * 2.4314127) - xv_a) / tanh(xv_a)) + 0.53745073,1.8129263318233207e-05,(-xv_a + xv_a*2.4314127)/tanh(xv_a) + 0.53745073,PySRFunction(X=>(-xv_a + xv_a*2.4314127)/tanh(xv_a) + 0.53745073)
13,0.002454548,((((xv_a * -0.18692015) + sqrt(xv_a)) + -0.08151763) * xv_a) + 1.5836929,3.3678807279687017e-06,xv_a*(sqrt(xv_a) - 0.18692015*xv_a - 0.08151763) + 1.5836929,PySRFunction(X=>xv_a*(sqrt(xv_a) - 0.18692015*xv_a - 0.08151763) + 1.5836929)
17,0.0024545246,((((xv_a ^ xv_a) + 3.2449026) ^ -1.2664806) + 0.55978996) + (xv_a * 1.4265902),2.3833422223535513e-06,xv_a*1.4265902 + (xv_a**xv_a + 3.2449026)**(-1.2664806) + 0.55978996,PySRFunction(X=>xv_a*1.4265902 + (xv_a**xv_a + 3.2449026)**(-1.2664806) + 0.55978996)
25,0.002452044,(xv_a * (((xv_a - (0.25551823 / ((xv_a * 2.1465788) + sin((xv_a + xv_a) ^ xv_a)))) ^ -1.4706119) + 1.4979305)) + -0.24910577,0.00012639180319141082,xv_a*((xv_a - 0.25551823/(xv_a*2.1465788 + sin((xv_a + xv_a)**xv_a)))**(-1.4706119) + 1.4979305) - 0.24910577,PySRFunction(X=>xv_a*((xv_a - 0.25551823/(xv_a*2.1465788 + sin((xv_a + xv_a)**xv_a)))**(-1.4706119) + 1.4979305) - 0.24910577)
28,0.0024519954,(((exp(xv_a - (0.2945857 / ((xv_a + sin(xv_a)) + sin((xv_a + xv_a) ^ xv_a)))) ^ -1.3668578) + 1.4527414) * xv_a) + 0.43811417,6.606798469264572e-06,xv_a*(exp(xv_a - 0.2945857/(xv_a + sin(xv_a) + sin((xv_a + xv_a)**xv_a)))**(-1.3668578) + 1.4527414) + 0.43811417,PySRFunction(X=>xv_a*(exp(xv_a - 0.2945857/(xv_a + sin(xv_a) + sin((xv_a + xv_a)**xv_a)))**(-1.3668578) + 1.4527414) + 0.43811417)
29,0.002451245,-0.27664742 + ((((xv_a - (0.20495045 / ((xv_a + sin(xv_a * ((xv_a + xv_a) + (xv_a ^ xv_a)))) + 1.490661))) ^ -1.4008297) + 1.490661) * xv_a),0.00030608330191548287,xv_a*((xv_a - 0.20495045/(xv_a + sin(xv_a*(xv_a + xv_a + xv_a**xv_a)) + 1.490661))**(-1.4008297) + 1.490661) - 0.27664742,PySRFunction(X=>xv_a*((xv_a - 0.20495045/(xv_a + sin(xv_a*(xv_a + xv_a + xv_a**xv_a)) + 1.490661))**(-1.4008297) + 1.490661) - 0.27664742)
31,0.00244921,((((xv_a - (0.23648335 / (sin((xv_a + ((xv_a + 0.16088739) + (xv_a ^ xv_a))) * xv_a) + (xv_a + 2.277876)))) ^ -1.4530249) + 1.4954405) * xv_a) + -0.2546326,0.00041526758576025885,xv_a*((xv_a - 0.23648335/(xv_a + sin(xv_a*(xv_a + xv_a + xv_a**xv_a + 0.16088739)) + 2.277876))**(-1.4530249) + 1.4954405) - 0.2546326,PySRFunction(X=>xv_a*((xv_a - 0.23648335/(xv_a + sin(xv_a*(xv_a + xv_a + xv_a**xv_a + 0.16088739)) + 2.277876))**(-1.4530249) + 1.4954405) - 0.2546326)
33,0.0024487004,((((xv_a - (0.21072984 / (sin(xv_a * (((xv_a + 0.2043826) + (xv_a ^ xv_a)) + xv_a)) + (sin(xv_a) + (xv_a - -1.4992803))))) ^ -1.4074887) + 1.4878432) * xv_a) + -0.26293358,0.00010404436999068079,xv_a*((xv_a - 0.21072984/(xv_a + sin(xv_a) + sin(xv_a*(xv_a + xv_a + xv_a**xv_a + 0.2043826)) - 1*(-1.4992803)))**(-1.4074887) + 1.4878432) - 0.26293358,PySRFunction(X=>xv_a*((xv_a - 0.21072984/(xv_a + sin(xv_a) + sin(xv_a*(xv_a + xv_a + xv_a**xv_a + 0.2043826)) - 1*(-1.4992803)))**(-1.4074887) + 1.4878432) - 0.26293358)
35,0.0024486629,(xv_a * (1.4878432 + ((xv_a - (0.21072984 / (sin(((xv_a + -0.014524872) + (xv_a + ((xv_a ^ xv_a) + 0.2043826))) * xv_a) + (sin(xv_a) + (xv_a - -1.4992803))))) ^ -1.4074887))) + -0.26293358,7.657181569618056e-06,xv_a*((xv_a - 0.21072984/(xv_a + sin(xv_a) + sin(xv_a*(xv_a + xv_a + xv_a**xv_a - 0.014524872 + 0.2043826)) - 1*(-1.4992803)))**(-1.4074887) + 1.4878432) - 0.26293358,PySRFunction(X=>xv_a*((xv_a - 0.21072984/(xv_a + sin(xv_a) + sin(xv_a*(xv_a + xv_a + xv_a**xv_a - 0.014524872 + 0.2043826)) - 1*(-1.4992803)))**(-1.4074887) + 1.4878432) - 0.26293358)
39,0.0024484387,((((xv_a - (0.25737673 / (xv_a + ((xv_a + sin((xv_a + xv_a) ^ xv_a)) * (sin((xv_a + ((xv_a ^ xv_a) + xv_a)) * xv_a) + 2.146348))))) ^ -1.4665488) + 1.4949261) * xv_a) + -0.2392721,2.289109135052241e-05,xv_a*((xv_a - 0.25737673/(xv_a + (xv_a + sin((xv_a + xv_a)**xv_a))*(sin(xv_a*(xv_a + xv_a + xv_a**xv_a)) + 2.146348)))**(-1.4665488) + 1.4949261) - 0.2392721,PySRFunction(X=>xv_a*((xv_a - 0.25737673/(xv_a + (xv_a + sin((xv_a + xv_a)**xv_a))*(sin(xv_a*(xv_a + xv_a + xv_a**xv_a)) + 2.146348)))**(-1.4665488) + 1.4949261) - 0.2392721)
41,0.0024465253,((((xv_a - (0.25737673 / (((xv_a + sin((xv_a + xv_a) ^ xv_a)) * (sin((xv_a + (xv_a + ((xv_a ^ xv_a) + 0.18479767))) * xv_a) + 2.146348)) + xv_a))) ^ -1.4665488) + 1.4949261) * xv_a) + -0.2392721,0.00039089155659848836,xv_a*((xv_a - 0.25737673/(xv_a + (xv_a + sin((xv_a + xv_a)**xv_a))*(sin(xv_a*(xv_a + xv_a + xv_a**xv_a + 0.18479767)) + 2.146348)))**(-1.4665488) + 1.4949261) - 0.2392721,PySRFunction(X=>xv_a*((xv_a - 0.25737673/(xv_a + (xv_a + sin((xv_a + xv_a)**xv_a))*(sin(xv_a*(xv_a + xv_a + xv_a**xv_a + 0.18479767)) + 2.146348)))**(-1.4665488) + 1.4949261) - 0.2392721)
47,0.002444235,(xv_a * (((xv_a - (0.27357975 / (((sin(((xv_a + ((xv_a ^ xv_a) + xv_a)) + 0.23771426) * xv_a) + (sin((((xv_a + -0.66999733) * xv_a) ^ xv_a) + -0.68586004) + 2.7062662)) * (xv_a - 1.3099647)) + xv_a))) ^ -1.4190723) + 1.4932891)) + -0.26938716,0.00015609707740930407,xv_a*((xv_a - 0.27357975/(xv_a + (xv_a - 1*1.3099647)*(sin(xv_a*(xv_a + xv_a + xv_a**xv_a + 0.23771426)) + sin((xv_a*(xv_a - 0.66999733))**xv_a - 0.68586004) + 2.7062662)))**(-1.4190723) + 1.4932891) - 0.26938716,PySRFunction(X=>xv_a*((xv_a - 0.27357975/(xv_a + (xv_a - 1*1.3099647)*(sin(xv_a*(xv_a + xv_a + xv_a**xv_a + 0.23771426)) + sin((xv_a*(xv_a - 0.66999733))**xv_a - 0.68586004) + 2.7062662)))**(-1.4190723) + 1.4932891) - 0.26938716)
