complexity,loss,equation,score,sympy_format,lambda_format
1,0.3358259,4.985055,0.0,4.98505500000000,PySRFunction(X=>4.98505500000000)
3,0.009732828,xv_a * 1.6044548,1.7705441847312997,xv_a*1.6044548,PySRFunction(X=>xv_a*1.6044548)
5,0.0026107358,(xv_a + 0.45717576) * 1.401375,0.6579362020687416,(xv_a + 0.45717576)*1.401375,PySRFunction(X=>(xv_a + 0.45717576)*1.401375)
7,0.0025930132,(xv_a + 0.9673654) ^ 1.1443781,0.0034057500702311216,(xv_a + 0.9673654)**1.1443781,PySRFunction(X=>(xv_a + 0.9673654)**1.1443781)
9,0.002592591,((cos(xv_a) * 0.058280636) + 0.68780434) + (xv_a * 1.4034055),8.141770652935952e-05,xv_a*1.4034055 + cos(xv_a)*0.058280636 + 0.68780434,PySRFunction(X=>xv_a*1.4034055 + cos(xv_a)*0.058280636 + 0.68780434)
10,0.002592566,(tanh(xv_a) + (xv_a ^ 1.1607151)) - -0.26620057,9.642909558964437e-06,xv_a**1.1607151 + tanh(xv_a) - 1*(-0.26620057),PySRFunction(X=>xv_a**1.1607151 + tanh(xv_a) - 1*(-0.26620057))
13,0.0025918079,(((xv_a * xv_a) * -0.45374402) + -2.8480935) - ((xv_a * -4.2538724) - cos(xv_a)),9.748525344637675e-05,xv_a*xv_a*(-0.45374402) - (xv_a*(-4.2538724) - cos(xv_a)) - 2.8480935,PySRFunction(X=>xv_a*xv_a*(-0.45374402) - (xv_a*(-4.2538724) - cos(xv_a)) - 2.8480935)
15,0.0025918076,(((xv_a * (xv_a * -0.45366752)) + -2.8474114) - ((xv_a * -3.2534108) - cos(xv_a))) + xv_a,5.78746629697371e-08,xv_a*xv_a*(-0.45366752) + xv_a - (xv_a*(-3.2534108) - cos(xv_a)) - 2.8474114,PySRFunction(X=>xv_a*xv_a*(-0.45366752) + xv_a - (xv_a*(-3.2534108) - cos(xv_a)) - 2.8474114)
16,0.0025906716,(sin(exp(xv_a + -0.9510812)) * 0.0028145309) + ((xv_a ^ 1.1636987) + 1.2481046),0.00043840022288736447,xv_a**1.1636987 + sin(exp(xv_a - 0.9510812))*0.0028145309 + 1.2481046,PySRFunction(X=>xv_a**1.1636987 + sin(exp(xv_a - 0.9510812))*0.0028145309 + 1.2481046)
19,0.0025889683,(((-7.7379746 - xv_a) * (xv_a * ((cos((xv_a * -10.266407) * xv_a) * -7.977033e-5) + -0.028761161))) + xv_a) + 0.91380054,0.00021923017742314828,xv_a*(-xv_a - 7.7379746)*(cos(xv_a*(-10.266407)*xv_a)*(-7.977033e-5) - 0.028761161) + xv_a + 0.91380054,PySRFunction(X=>xv_a*(-xv_a - 7.7379746)*(cos(xv_a*(-10.266407)*xv_a)*(-7.977033e-5) - 0.028761161) + xv_a + 0.91380054)
