complexity,loss,equation,score,sympy_format,lambda_format
19,0.0024256774,((xv_a - (cos(7.7033944 ^ xv_a) * (cos(1.2156825 - xv_a) * 0.0061181793))) ^ 1.1562165) + 1.336296,0.0012427152049347848,(xv_a - 0.0061181793*cos(7.7033944**xv_a)*cos(1.2156825 - xv_a))**1.1562165 + 1.336296,PySRFunction(X=>(xv_a - 0.0061181793*cos(7.7033944**xv_a)*cos(1.2156825 - xv_a))**1.1562165 + 1.336296)
20,0.0024255395,((((cos(7.703458 ^ xv_a) * cos(atan(xv_a) - xv_a)) * -0.0066373656) + xv_a) ^ 1.1563802) + 1.3356212,5.685171489114428e-05,(xv_a + cos(7.703458**xv_a)*cos(-xv_a + atan(xv_a))*(-0.0066373656))**1.1563802 + 1.3356212,PySRFunction(X=>(xv_a + cos(7.703458**xv_a)*cos(-xv_a + atan(xv_a))*(-0.0066373656))**1.1563802 + 1.3356212)
21,0.0024251796,(((cos(7.703412 ^ xv_a) * ((xv_a ^ xv_a) * 4.811865e-5)) + xv_a) ^ 1.1562246) + 1.336255,0.0001483903698568227,(xv_a + cos(7.703412**xv_a)*xv_a**xv_a*4.811865e-5)**1.1562246 + 1.336255,PySRFunction(X=>(xv_a + cos(7.703412**xv_a)*xv_a**xv_a*4.811865e-5)**1.1562246 + 1.336255)
23,0.0024241218,(cos(7.7034473 ^ xv_a) * (((xv_a * xv_a) ^ xv_a) * 6.6244564e-7)) + ((xv_a ^ 1.1564337) + 1.3353283),0.00021813451660853867,xv_a**1.1564337 + cos(7.7034473**xv_a)*(xv_a*xv_a)**xv_a*6.6244564e-7 + 1.3353283,PySRFunction(X=>xv_a**1.1564337 + cos(7.7034473**xv_a)*(xv_a*xv_a)**xv_a*6.6244564e-7 + 1.3353283)
25,0.0024241214,((cos(7.7034473 ^ xv_a) * ((((xv_a + cos(-1.5703441)) * xv_a) ^ xv_a) * 6.6244564e-7)) + (xv_a ^ 1.1564337)) + 1.3353283,8.250411196579298e-08,xv_a**1.1564337 + cos(7.7034473**xv_a)*(xv_a*(xv_a + cos(-1.5703441)))**xv_a*6.6244564e-7 + 1.3353283,PySRFunction(X=>xv_a**1.1564337 + cos(7.7034473**xv_a)*(xv_a*(xv_a + cos(-1.5703441)))**xv_a*6.6244564e-7 + 1.3353283)
27,0.0024217388,(((xv_a - sin(7.7036767 ^ xv_a)) ^ xv_a) * (cos(7.7034597 ^ xv_a) * 6.8098365e-5)) + ((xv_a ^ 1.1562991) + 1.3361889),0.0004916774511975293,xv_a**1.1562991 + (xv_a - sin(7.7036767**xv_a))**xv_a*cos(7.7034597**xv_a)*6.8098365e-5 + 1.3361889,PySRFunction(X=>xv_a**1.1562991 + (xv_a - sin(7.7036767**xv_a))**xv_a*cos(7.7034597**xv_a)*6.8098365e-5 + 1.3361889)
28,0.0024194175,(xv_a ^ 1.1562533) + (((cos(7.7036204 ^ xv_a) * 6.145255e-5) * ((xv_a - sin(exp(xv_a + 0.83086073))) ^ xv_a)) + 1.3362316),0.0009589858430719941,xv_a**1.1562533 + cos(7.7036204**xv_a)*6.145255e-5*(xv_a - sin(exp(xv_a + 0.83086073)))**xv_a + 1.3362316,PySRFunction(X=>xv_a**1.1562533 + cos(7.7036204**xv_a)*6.145255e-5*(xv_a - sin(exp(xv_a + 0.83086073)))**xv_a + 1.3362316)
29,0.0024184473,((((xv_a - sin((xv_a + 1.0064471) ^ xv_a)) ^ xv_a) * cos(7.7036066 ^ xv_a)) * 6.6797424e-5) + ((xv_a ^ 1.1562326) + 1.3362284),0.00040108603820693386,xv_a**1.1562326 + (xv_a - sin((xv_a + 1.0064471)**xv_a))**xv_a*cos(7.7036066**xv_a)*6.6797424e-5 + 1.3362284,PySRFunction(X=>xv_a**1.1562326 + (xv_a - sin((xv_a + 1.0064471)**xv_a))**xv_a*cos(7.7036066**xv_a)*6.6797424e-5 + 1.3362284)
31,0.0024162875,((((((1.336285 - sin((xv_a + 1.0064316) ^ xv_a)) * xv_a) ^ xv_a) * cos(7.7036138 ^ xv_a)) * 9.969999e-6) + (xv_a ^ 1.1562333)) + 1.3362225,0.00044672567017993306,xv_a**1.1562333 + (xv_a*(1.336285 - sin((xv_a + 1.0064316)**xv_a)))**xv_a*cos(7.7036138**xv_a)*9.969999e-6 + 1.3362225,PySRFunction(X=>xv_a**1.1562333 + (xv_a*(1.336285 - sin((xv_a + 1.0064316)**xv_a)))**xv_a*cos(7.7036138**xv_a)*9.969999e-6 + 1.3362225)
32,0.0024162694,(((((atan(xv_a) - sin((xv_a + 1.0064316) ^ xv_a)) * xv_a) ^ xv_a) * cos(7.7036138 ^ xv_a)) * 9.969999e-6) + ((xv_a ^ 1.1562333) + 1.3362225),7.490858514334121e-06,xv_a**1.1562333 + (xv_a*(-sin((xv_a + 1.0064316)**xv_a) + atan(xv_a)))**xv_a*cos(7.7036138**xv_a)*9.969999e-6 + 1.3362225,PySRFunction(X=>xv_a**1.1562333 + (xv_a*(-sin((xv_a + 1.0064316)**xv_a) + atan(xv_a)))**xv_a*cos(7.7036138**xv_a)*9.969999e-6 + 1.3362225)
34,0.0024162205,(((((atan(0.4079401 + xv_a) - sin((xv_a + 1.0064316) ^ xv_a)) * xv_a) ^ xv_a) * cos(7.7036138 ^ xv_a)) * 9.969999e-6) + ((xv_a ^ 1.1562333) + 1.3362225),1.0119007181363716e-05,xv_a**1.1562333 + (xv_a*(-sin((xv_a + 1.0064316)**xv_a) + atan(xv_a + 0.4079401)))**xv_a*cos(7.7036138**xv_a)*9.969999e-6 + 1.3362225,PySRFunction(X=>xv_a**1.1562333 + (xv_a*(-sin((xv_a + 1.0064316)**xv_a) + atan(xv_a + 0.4079401)))**xv_a*cos(7.7036138**xv_a)*9.969999e-6 + 1.3362225)
35,0.0024159157,(cos(7.703579 ^ xv_a) * (((((xv_a + xv_a) * (1.1106107 - sin((xv_a + 1.0063616) ^ xv_a))) * 1.3361722) ^ xv_a) * 4.1656327e-7)) + ((xv_a ^ 1.156243) + 1.3361869),0.0001261553846119732,xv_a**1.156243 + cos(7.703579**xv_a)*((xv_a + xv_a)*(1.1106107 - sin((xv_a + 1.0063616)**xv_a))*1.3361722)**xv_a*4.1656327e-7 + 1.3361869,PySRFunction(X=>xv_a**1.156243 + cos(7.703579**xv_a)*((xv_a + xv_a)*(1.1106107 - sin((xv_a + 1.0063616)**xv_a))*1.3361722)**xv_a*4.1656327e-7 + 1.3361869)
37,0.002415895,(xv_a ^ 1.1562399) + (((cos(7.7035894 ^ xv_a) * 1.7282863e-6) * ((xv_a + ((xv_a * log(xv_a)) * (1.1106235 - sin((xv_a + 1.0063802) ^ xv_a)))) ^ xv_a)) + 1.3361868),4.284108232989208e-06,xv_a**1.1562399 + 1.7282863e-6*(xv_a*(1.1106235 - sin((xv_a + 1.0063802)**xv_a))*log(xv_a) + xv_a)**xv_a*cos(7.7035894**xv_a) + 1.3361868,PySRFunction(X=>xv_a**1.1562399 + 1.7282863e-6*(xv_a*(1.1106235 - sin((xv_a + 1.0063802)**xv_a))*log(xv_a) + xv_a)**xv_a*cos(7.7035894**xv_a) + 1.3361868)
38,0.0024158917,(xv_a ^ 1.15625) + (((cos(7.703588 ^ xv_a) * (((tanh(xv_a) + xv_a) * (log(xv_a) * (1.1106235 - sin((xv_a + 1.0063789) ^ xv_a)))) ^ xv_a)) * 2.4262094e-6) + 1.336189),1.3659543373015897e-06,xv_a**1.15625 + 2.4262094e-6*((1.1106235 - sin((xv_a + 1.0063789)**xv_a))*(xv_a + tanh(xv_a))*log(xv_a))**xv_a*cos(7.703588**xv_a) + 1.336189,PySRFunction(X=>xv_a**1.15625 + 2.4262094e-6*((1.1106235 - sin((xv_a + 1.0063789)**xv_a))*(xv_a + tanh(xv_a))*log(xv_a))**xv_a*cos(7.703588**xv_a) + 1.336189)
39,0.002414858,((xv_a ^ 1.15624) + ((((xv_a + (0.870813 - sin(xv_a ^ xv_a))) * (xv_a - sin((xv_a + 1.0064934) ^ xv_a))) ^ xv_a) * (cos(7.703464 ^ xv_a) * 2.485907e-7))) + 1.3362839,0.0004279667049514732,xv_a**1.15624 + ((xv_a - sin((xv_a + 1.0064934)**xv_a))*(xv_a - sin(xv_a**xv_a) + 0.870813))**xv_a*cos(7.703464**xv_a)*2.485907e-7 + 1.3362839,PySRFunction(X=>xv_a**1.15624 + ((xv_a - sin((xv_a + 1.0064934)**xv_a))*(xv_a - sin(xv_a**xv_a) + 0.870813))**xv_a*cos(7.703464**xv_a)*2.485907e-7 + 1.3362839)
41,0.0024088793,((xv_a ^ 1.1562392) + (cos(7.703357 ^ xv_a) * ((((xv_a - sin((xv_a + 1.0064108) ^ xv_a)) * ((xv_a + 0.96298605) - sin((xv_a * 0.77291816) ^ xv_a))) ^ xv_a) * 2.7841793e-7))) + 1.3362406,0.0012394338019786311,xv_a**1.1562392 + cos(7.703357**xv_a)*((xv_a - sin((xv_a + 1.0064108)**xv_a))*(xv_a - sin((xv_a*0.77291816)**xv_a) + 0.96298605))**xv_a*2.7841793e-7 + 1.3362406,PySRFunction(X=>xv_a**1.1562392 + cos(7.703357**xv_a)*((xv_a - sin((xv_a + 1.0064108)**xv_a))*(xv_a - sin((xv_a*0.77291816)**xv_a) + 0.96298605))**xv_a*2.7841793e-7 + 1.3362406)
43,0.0024088754,((cos(7.703357 ^ xv_a) * (((xv_a - sin((xv_a + 1.0064108) ^ xv_a)) * (((xv_a / 1.0048656) + 0.96298605) - sin((xv_a * 0.77291816) ^ xv_a))) ^ xv_a)) * 2.7841793e-7) + (1.3362406 + (xv_a ^ 1.1562392)),8.095057226664835e-07,xv_a**1.1562392 + cos(7.703357**xv_a)*((xv_a - sin((xv_a + 1.0064108)**xv_a))*(xv_a/1.0048656 - sin((xv_a*0.77291816)**xv_a) + 0.96298605))**xv_a*2.7841793e-7 + 1.3362406,PySRFunction(X=>xv_a**1.1562392 + cos(7.703357**xv_a)*((xv_a - sin((xv_a + 1.0064108)**xv_a))*(xv_a/1.0048656 - sin((xv_a*0.77291816)**xv_a) + 0.96298605))**xv_a*2.7841793e-7 + 1.3362406)
47,0.002408228,((xv_a ^ 1.1562392) + ((cos(7.703357 ^ xv_a) * (((xv_a - sin((xv_a + 1.0064108) ^ xv_a)) * ((xv_a - sin((xv_a + 1.0064108) ^ xv_a)) - sin((xv_a * 0.77291816) ^ xv_a))) ^ xv_a)) * 2.7841793e-7)) + 1.3362406,6.719805971965313e-05,xv_a**1.1562392 + cos(7.703357**xv_a)*((xv_a - sin((xv_a + 1.0064108)**xv_a))*(xv_a - sin((xv_a*0.77291816)**xv_a) - sin((xv_a + 1.0064108)**xv_a)))**xv_a*2.7841793e-7 + 1.3362406,PySRFunction(X=>xv_a**1.1562392 + cos(7.703357**xv_a)*((xv_a - sin((xv_a + 1.0064108)**xv_a))*(xv_a - sin((xv_a*0.77291816)**xv_a) - sin((xv_a + 1.0064108)**xv_a)))**xv_a*2.7841793e-7 + 1.3362406)
