complexity,loss,equation,score,sympy_format,lambda_format
1,0.33603996,4.979001,0.0,4.97900100000000,PySRFunction(X=>4.97900100000000)
3,0.01357379,xv_a * 1.6253909,1.6045446770271037,xv_a*1.6253909,PySRFunction(X=>xv_a*1.6253909)
5,0.0024597545,(xv_a * 1.3764783) + 0.77464503,0.8540395895963531,xv_a*1.3764783 + 0.77464503,PySRFunction(X=>xv_a*1.3764783 + 0.77464503)
7,0.0024330092,1.3352816 + (xv_a ^ 1.1564664),0.005466351541065657,xv_a**1.1564664 + 1.3352816,PySRFunction(X=>xv_a**1.1564664 + 1.3352816)
9,0.0024322185,(((cos(xv_a) * 0.023847139) + 1.402485) * xv_a) + 0.7618882,0.00016252065796663933,xv_a*(cos(xv_a)*0.023847139 + 1.402485) + 0.7618882,PySRFunction(X=>xv_a*(cos(xv_a)*0.023847139 + 1.402485) + 0.7618882)
12,0.0024322118,((((xv_a * 0.054531597) + 1.0141957) * xv_a) * tanh(xv_a)) + 1.3825487,9.182301711105513e-07,xv_a*(xv_a*0.054531597 + 1.0141957)*tanh(xv_a) + 1.3825487,PySRFunction(X=>xv_a*(xv_a*0.054531597 + 1.0141957)*tanh(xv_a) + 1.3825487)
13,0.0024291687,((xv_a ^ 1.1562757) + (cos(xv_a * -937.76154) * 0.0027972218)) + 1.3360274,0.0012519490698058011,xv_a**1.1562757 + cos(xv_a*(-937.76154))*0.0027972218 + 1.3360274,PySRFunction(X=>xv_a**1.1562757 + cos(xv_a*(-937.76154))*0.0027972218 + 1.3360274)
15,0.002428965,((cos((-1.1861596 - xv_a) * -937.76154) * 0.0027972218) + (xv_a ^ 1.1562757)) + 1.3360274,4.192968178693259e-05,xv_a**1.1562757 + cos((-xv_a - 1.1861596)*(-937.76154))*0.0027972218 + 1.3360274,PySRFunction(X=>xv_a**1.1562757 + cos((-xv_a - 1.1861596)*(-937.76154))*0.0027972218 + 1.3360274)
17,0.0024287568,(((cos(7.7034364 ^ xv_a) * (sin(xv_a) * -0.0053006266)) + xv_a) ^ 1.156261) + 1.3360914,4.2859597296674696e-05,(xv_a + cos(7.7034364**xv_a)*sin(xv_a)*(-0.0053006266))**1.156261 + 1.3360914,PySRFunction(X=>(xv_a + cos(7.7034364**xv_a)*sin(xv_a)*(-0.0053006266))**1.156261 + 1.3360914)
18,0.0024286937,((((sin(xv_a) * atan(cos(7.703458 ^ xv_a))) * -0.0066373656) + xv_a) ^ 1.1563802) + 1.3356212,2.5980707370544435e-05,(xv_a + sin(xv_a)*atan(cos(7.703458**xv_a))*(-0.0066373656))**1.1563802 + 1.3356212,PySRFunction(X=>(xv_a + sin(xv_a)*atan(cos(7.703458**xv_a))*(-0.0066373656))**1.1563802 + 1.3356212)
