ID,dataset,orgfile,target,IndependentVars,ParameterNames,ParameterValues,FixedConstantValues,PySRFeatures,feature_name_map,complexity,loss,score,equation,sympy_format,restored_equation,orgpara_list,para_eq,para_list
P06,5,5.csv,omega,"[""k""]","[""d""]",[3.61928486],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",38,0.0025297028,3.205858808062792e-05,(sin(xv_a) * (((cos(exp(xv_a * xv_a) / -0.07035002) * ((((1.1034315 ^ xv_a) * sin(xv_a)) * cos((xv_a * 1.0758797) * xv_a)) + 0.1603512)) + xv_a) * -0.02011819)) + ((xv_a - -0.54104704) + (0.38409314 * xv_a)),0.38409314*xv_a + xv_a + sin(xv_a)*(xv_a + (1.1034315**xv_a*sin(xv_a)*cos(xv_a*1.0758797*xv_a) + 0.1603512)*cos(exp(xv_a*xv_a)/(-0.07035002)))*(-0.02011819) - 1*(-0.54104704),1.38409314*k - 0.02011819*(k + (1.1034315**k*sin(k)*cos(1.0758797*k**2) + 0.1603512)*cos(14.2146370391935*exp(k**2)))*sin(k) + 0.54104704,"[0.541047040000000, 1.38409314000000, -0.0201181900000000, 0.160351200000000, 1.10343150000000, 1.07587970000000, 2, 14.2146370391935]",k*p1 + p0 + p2*(k + (p3 + p4**k*sin(k)*cos(k**p6*p5))*cos(p7*exp(k**p6)))*sin(k),"[p0, p1, p2, p3, p4, p5, p6, p7]"
P06,5,5.csv,omega,"[""k""]","[""d""]",[3.61928486],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",37,0.0025297839,5.547199729252889e-06,((sin(xv_a) * ((xv_a + (cos(exp(xv_a * xv_a) / -0.07035002) * (sin(xv_a) * (cos(exp((xv_a * 1.3726737) - xv_a) * xv_a) + -0.54104704)))) * -0.02011819)) + (xv_a - -0.54104704)) + (0.38409314 * xv_a),0.38409314*xv_a + xv_a + sin(xv_a)*(xv_a + (cos(xv_a*exp(-xv_a + xv_a*1.3726737)) - 0.54104704)*sin(xv_a)*cos(exp(xv_a*xv_a)/(-0.07035002)))*(-0.02011819) - 1*(-0.54104704),1.38409314*k - 0.02011819*(k + (cos(k*exp(0.3726737*k)) - 0.54104704)*sin(k)*cos(14.2146370391935*exp(k**2)))*sin(k) + 0.54104704,"[0.541047040000000, 1.38409314000000, -0.0201181900000000, -0.541047040000000, 0.372673700000000, 14.2146370391935, 2]",k*p1 + p0 + p2*(k + (p3 + cos(k*exp(k*p4)))*sin(k)*cos(p5*exp(k**p6)))*sin(k),"[p0, p1, p2, p3, p4, p5, p6]"
P06,5,5.csv,omega,"[""k""]","[""d""]",[3.61928486],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",34,0.002529826,2.986282214119261e-05,((sin(xv_a) * (((cos(exp(xv_a * xv_a) / -0.07035002) * ((sin(1.0758797 * xv_a) * cos(xv_a * (1.0758797 * xv_a))) + 0.1603512)) + xv_a) * -0.02011819)) + (xv_a - -0.54104704)) + (0.38409314 * xv_a),0.38409314*xv_a + xv_a + sin(xv_a)*(xv_a + (sin(1.0758797*xv_a)*cos(xv_a*1.0758797*xv_a) + 0.1603512)*cos(exp(xv_a*xv_a)/(-0.07035002)))*(-0.02011819) - 1*(-0.54104704),1.38409314*k - 0.02011819*(k + (sin(1.0758797*k)*cos(1.0758797*k**2) + 0.1603512)*cos(14.2146370391935*exp(k**2)))*sin(k) + 0.54104704,"[0.541047040000000, 1.38409314000000, -0.0201181900000000, 0.160351200000000, 1.07587970000000, 2, 14.2146370391935]",k*p1 + p0 + p2*(k + (p3 + sin(k*p4)*cos(k**p5*p4))*cos(p6*exp(k**p5)))*sin(k),"[p0, p1, p2, p3, p4, p5, p6]"
P06,5,5.csv,omega,"[""k""]","[""d""]",[3.61928486],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",32,0.0025299771,0.00019409451439174932,(((sin(xv_a) * ((cos(exp(xv_a * xv_a) / -0.07035002) * (0.1603512 + (sin(xv_a) * cos(xv_a * (1.0758797 * xv_a))))) + xv_a)) * -0.02011819) + (xv_a - -0.54104704)) + (0.38409314 * xv_a),0.38409314*xv_a + xv_a + sin(xv_a)*(xv_a + (sin(xv_a)*cos(xv_a*1.0758797*xv_a) + 0.1603512)*cos(exp(xv_a*xv_a)/(-0.07035002)))*(-0.02011819) - 1*(-0.54104704),1.38409314*k - 0.02011819*(k + (sin(k)*cos(1.0758797*k**2) + 0.1603512)*cos(14.2146370391935*exp(k**2)))*sin(k) + 0.54104704,"[0.541047040000000, 1.38409314000000, -0.0201181900000000, 0.160351200000000, 1.07587970000000, 2, 14.2146370391935]",k*p1 + p0 + p2*(k + (p3 + sin(k)*cos(k**p5*p4))*cos(p6*exp(k**p5)))*sin(k),"[p0, p1, p2, p3, p4, p5, p6]"
P06,5,5.csv,omega,"[""k""]","[""d""]",[3.61928486],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",30,0.0025309594,9.700913423476785e-05,((sin(xv_a) * ((cos(exp(xv_a * xv_a) / -0.07035002) * (sin(xv_a) * cos((xv_a * xv_a) * 1.0758797))) + xv_a)) * -0.02011819) + ((xv_a - -0.54104704) + (xv_a * 0.38409314)),xv_a*0.38409314 + xv_a + sin(xv_a)*(xv_a + sin(xv_a)*cos(exp(xv_a*xv_a)/(-0.07035002))*cos(xv_a*xv_a*1.0758797))*(-0.02011819) - 1*(-0.54104704),1.38409314*k - 0.02011819*(k + sin(k)*cos(1.0758797*k**2)*cos(14.2146370391935*exp(k**2)))*sin(k) + 0.54104704,"[0.541047040000000, 1.38409314000000, -0.0201181900000000, 1.07587970000000, 2, 14.2146370391935]",k*p1 + p0 + p2*(k + sin(k)*cos(k**p4*p3)*cos(p5*exp(k**p4)))*sin(k),"[p0, p1, p2, p3, p4, p5]"
P06,5,5.csv,omega,"[""k""]","[""d""]",[3.61928486],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",28,0.0025314505,0.0007171575596343797,(xv_a * 0.38409314) + (((sin(xv_a) * (xv_a + ((sin(xv_a) * 2.2042668) * (cos(exp(xv_a * xv_a) / -0.07035002) * sin(xv_a))))) * -0.02011819) + (xv_a - -0.54104704)),xv_a*0.38409314 + xv_a + sin(xv_a)*(xv_a + sin(xv_a)*2.2042668*cos(exp(xv_a*xv_a)/(-0.07035002))*sin(xv_a))*(-0.02011819) - 1*(-0.54104704),1.38409314*k - 0.02011819*(k + 2.2042668*sin(k)**2*cos(14.2146370391935*exp(k**2)))*sin(k) + 0.54104704,"[0.541047040000000, 1.38409314000000, -0.0201181900000000, 2.20426680000000, 2, 14.2146370391935]",k*p1 + p0 + p2*(k + p3*sin(k)**p4*cos(p5*exp(k**p4)))*sin(k),"[p0, p1, p2, p3, p4, p5]"
P06,5,5.csv,omega,"[""k""]","[""d""]",[3.61928486],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",27,0.0025332666,7.894944498942932e-08,(((xv_a + (cos(exp(xv_a * xv_a) / -0.07035002) * (sin(xv_a) * sin(xv_a)))) * (atanh(-0.02011819) * sin(xv_a))) + (xv_a - -0.54104704)) + (xv_a * 0.38409314),1.38409314*xv_a - 0.0201209048819204*(xv_a + sin(xv_a)**2*cos(14.2146370391935*exp(xv_a**2)))*sin(xv_a) + 0.54104704,1.38409314*k - 0.0201209048819204*(k + sin(k)**2*cos(14.2146370391935*exp(k**2)))*sin(k) + 0.54104704,"[0.541047040000000, 1.38409314000000, -0.0201209048819204, 2, 14.2146370391935]",k*p1 + p0 + p2*(k + sin(k)**p3*cos(p4*exp(k**p3)))*sin(k),"[p0, p1, p2, p3, p4]"
P06,5,5.csv,omega,"[""k""]","[""d""]",[3.61928486],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",26,0.0025332668,0.00021061493006143523,(xv_a + (((((cos(exp(xv_a * xv_a) / -0.07035002) * sin(xv_a)) * sin(xv_a)) + xv_a) * (-0.02011819 * sin(xv_a))) - -0.54104704)) + (xv_a * 0.38409314),xv_a*0.38409314 + xv_a + (xv_a + sin(xv_a)*sin(xv_a)*cos(exp(xv_a*xv_a)/(-0.07035002)))*(-0.02011819)*sin(xv_a) - 1*(-0.54104704),1.38409314*k - 0.02011819*(k + sin(k)**2*cos(14.2146370391935*exp(k**2)))*sin(k) + 0.54104704,"[0.541047040000000, 1.38409314000000, -0.0201181900000000, 2, 14.2146370391935]",k*p1 + p0 + p2*(k + sin(k)**p3*cos(p4*exp(k**p3)))*sin(k),"[p0, p1, p2, p3, p4]"
P06,5,5.csv,omega,"[""k""]","[""d""]",[3.61928486],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",25,0.0025338004,0.0001851815556033766,(((((xv_a + (sin(xv_a - -0.4520474) * sin((xv_a ^ xv_a) * 1.2015557))) * (sin(xv_a) * -0.046293713)) + xv_a) * 0.39118433) + xv_a) - -0.5191148,xv_a + (xv_a + (xv_a + sin(xv_a**xv_a*1.2015557)*sin(xv_a - 1*(-0.4520474)))*sin(xv_a)*(-0.046293713))*0.39118433 - 1*(-0.5191148),1.39118433*k - 0.0181093751031173*(k + sin(1.2015557*k**k)*sin(k + 0.4520474))*sin(k) + 0.5191148,"[0.519114800000000, 1.39118433000000, -0.0181093751031173, 1.20155570000000, 0.452047400000000]",k*p1 + p0 + p2*(k + sin(k**k*p3)*sin(k + p4))*sin(k),"[p0, p1, p2, p3, p4]"
P06,5,5.csv,omega,"[""k""]","[""d""]",[3.61928486],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",23,0.002534739,0.00020189257845985137,(((xv_a + ((xv_a + (sin(xv_a) * sin((xv_a ^ xv_a) * 1.2017459))) * (sin(xv_a) * -0.049655203))) * 0.38656) + xv_a) - -0.5336804,xv_a + (xv_a + (xv_a + sin(xv_a)*sin(xv_a**xv_a*1.2017459))*sin(xv_a)*(-0.049655203))*0.38656 - 1*(-0.5336804),1.38656*k - 0.01919471527168*(k + sin(k)*sin(1.2017459*k**k))*sin(k) + 0.5336804,"[0.533680400000000, 1.38656000000000, -0.0191947152716800, 1.20174590000000]",k*p1 + p0 + p2*(k + sin(k)*sin(k**k*p3))*sin(k),"[p0, p1, p2, p3]"
