complexity,loss,equation,score,sympy_format,lambda_format
1,0.33286205,5.004765,0.0,5.00476500000000,PySRFunction(X=>5.00476500000000)
3,0.0051847785,xv_a * 1.5641563,2.0810005092494386,xv_a*1.5641563,PySRFunction(X=>xv_a*1.5641563)
5,0.0025166268,(xv_a + 0.28943485) * 1.4360921,0.3614038439892033,(xv_a + 0.28943485)*1.4360921,PySRFunction(X=>(xv_a + 0.28943485)*1.4360921)
8,0.0025148538,((xv_a * 1.4442395) - tanh(xv_a)) + 1.3850907,0.00023492091948520497,xv_a*1.4442395 - tanh(xv_a) + 1.3850907,PySRFunction(X=>xv_a*1.4442395 - tanh(xv_a) + 1.3850907)
9,0.0025146683,(xv_a * (1.4021338 - (sin(xv_a) * 0.011040351))) + 0.52072257,7.376446365905427e-05,xv_a*(1.4021338 - 0.011040351*sin(xv_a)) + 0.52072257,PySRFunction(X=>xv_a*(1.4021338 - 0.011040351*sin(xv_a)) + 0.52072257)
10,0.002513977,(((atan(sin(xv_a)) * -0.014116669) + 1.3959318) * xv_a) + 0.53996575,0.0002749448263350709,xv_a*(1.3959318 + atan(sin(xv_a))*(-0.014116669)) + 0.53996575,PySRFunction(X=>xv_a*(1.3959318 + atan(sin(xv_a))*(-0.014116669)) + 0.53996575)
11,0.0025134184,((xv_a * (-0.100550935 - (sin(xv_a) * 0.018971529))) + 1.8836712) * xv_a,0.0002222224264671016,xv_a*(xv_a*(-0.018971529*sin(xv_a) - 0.100550935) + 1.8836712),PySRFunction(X=>xv_a*(xv_a*(-0.018971529*sin(xv_a) - 0.100550935) + 1.8836712))
12,0.0025134177,(((-0.100550935 - atan(sin(xv_a) * 0.018971529)) * xv_a) + 1.8836712) * xv_a,2.7850520138121123e-07,xv_a*(xv_a*(-atan(sin(xv_a)*0.018971529) - 0.100550935) + 1.8836712),PySRFunction(X=>xv_a*(xv_a*(-atan(sin(xv_a)*0.018971529) - 0.100550935) + 1.8836712))
13,0.0025132925,(((xv_a * (sin(xv_a) * -0.043354582)) + 4.24888) * sqrt(xv_a)) + -2.605668,4.981389220559642e-05,sqrt(xv_a)*(-0.043354582*xv_a*sin(xv_a) + 4.24888) - 2.605668,PySRFunction(X=>sqrt(xv_a)*(-0.043354582*xv_a*sin(xv_a) + 4.24888) - 2.605668)
14,0.0025132373,((atan(xv_a * (sin(xv_a) * -0.04383248)) + 4.241105) * sqrt(xv_a)) + -2.592022,2.1963462746206584e-05,sqrt(xv_a)*(4.241105 - atan(0.04383248*xv_a*sin(xv_a))) - 2.592022,PySRFunction(X=>sqrt(xv_a)*(4.241105 - atan(0.04383248*xv_a*sin(xv_a))) - 2.592022)
15,0.0025131272,(-4.7860136 - xv_a) + ((7.251258 - ((xv_a * sin(xv_a)) * 0.071337454)) * sqrt(xv_a)),4.3808999533297863e-05,sqrt(xv_a)*(-0.071337454*xv_a*sin(xv_a) + 7.251258) - xv_a - 4.7860136,PySRFunction(X=>sqrt(xv_a)*(-0.071337454*xv_a*sin(xv_a) + 7.251258) - xv_a - 4.7860136)
17,0.0025108338,(((((xv_a * sin(xv_a)) * -0.043714322) + 4.2410817) + (-1.1092276e-5 / sin(xv_a))) * sqrt(xv_a)) + -2.5920281,0.00045649242884324387,sqrt(xv_a)*(-0.043714322*xv_a*sin(xv_a) + 4.2410817 - 1.1092276e-5/sin(xv_a)) - 2.5920281,PySRFunction(X=>sqrt(xv_a)*(-0.043714322*xv_a*sin(xv_a) + 4.2410817 - 1.1092276e-5/sin(xv_a)) - 2.5920281)
23,0.002507979,(sqrt(xv_a) * ((xv_a * ((sin(xv_a) * -0.043724943) + (sin((xv_a + 0.7512786) ^ xv_a) * -0.00055897795))) + 4.2410984)) + -2.5920305,0.00018960661426381826,sqrt(xv_a)*(xv_a*(-0.043724943*sin(xv_a) - 0.00055897795*sin((xv_a + 0.7512786)**xv_a)) + 4.2410984) - 2.5920305,PySRFunction(X=>sqrt(xv_a)*(xv_a*(-0.043724943*sin(xv_a) - 0.00055897795*sin((xv_a + 0.7512786)**xv_a)) + 4.2410984) - 2.5920305)
24,0.0025078706,((((atan(sin((0.75124556 + xv_a) ^ xv_a)) * -0.002224787) + (sin(xv_a) * (-0.043714684 * xv_a))) + 4.241103) * sqrt(xv_a)) + -2.5920153,4.322298659712066e-05,sqrt(xv_a)*(-0.043714684*xv_a*sin(xv_a) - 0.002224787*atan(sin((xv_a + 0.75124556)**xv_a)) + 4.241103) - 2.5920153,PySRFunction(X=>sqrt(xv_a)*(-0.043714684*xv_a*sin(xv_a) - 0.002224787*atan(sin((xv_a + 0.75124556)**xv_a)) + 4.241103) - 2.5920153)
25,0.0025025741,((cos((xv_a ^ xv_a) * (xv_a * 0.5263694)) * -0.004617311) + -2.5800679) + (sqrt(xv_a) * ((xv_a * (sin(xv_a) * -0.044068642)) + 4.234207)),0.0021141843848099784,sqrt(xv_a)*(-0.044068642*xv_a*sin(xv_a) + 4.234207) - 0.004617311*cos(0.5263694*xv_a*xv_a**xv_a) - 2.5800679,PySRFunction(X=>sqrt(xv_a)*(-0.044068642*xv_a*sin(xv_a) + 4.234207) - 0.004617311*cos(0.5263694*xv_a*xv_a**xv_a) - 2.5800679)
29,0.0025006612,(sqrt(xv_a + (sin(xv_a * ((xv_a + ((xv_a ^ xv_a) + xv_a)) * 0.5262605)) * -0.0040968475)) * (((sin(xv_a) * xv_a) * -0.043663323) + 4.241061)) + -2.5920398,0.00019116631324617405,sqrt(xv_a - 0.0040968475*sin(xv_a*(1.052521*xv_a + 0.5262605*xv_a**xv_a)))*(-0.043663323*xv_a*sin(xv_a) + 4.241061) - 2.5920398,PySRFunction(X=>sqrt(xv_a - 0.0040968475*sin(xv_a*(1.052521*xv_a + 0.5262605*xv_a**xv_a)))*(-0.043663323*xv_a*sin(xv_a) + 4.241061) - 2.5920398)
30,0.0025003124,((sin((((xv_a + (xv_a ^ xv_a)) + xv_a) * 0.52633953) * xv_a) * -0.005112661) + -2.5938156) + (sqrt(xv_a) * ((sin(xv_a) * atan(xv_a * -0.0439422)) + 4.2421193)),0.00013949283818087444,sqrt(xv_a)*(-sin(xv_a)*atan(0.0439422*xv_a) + 4.2421193) - 0.005112661*sin(xv_a*(1.05267906*xv_a + 0.52633953*xv_a**xv_a)) - 2.5938156,PySRFunction(X=>sqrt(xv_a)*(-sin(xv_a)*atan(0.0439422*xv_a) + 4.2421193) - 0.005112661*sin(xv_a*(1.05267906*xv_a + 0.52633953*xv_a**xv_a)) - 2.5938156)
