complexity,loss,equation,score,sympy_format,lambda_format
1,0.33948472,4.996159,0.0,4.99615900000000,PySRFunction(X=>4.99615900000000)
3,0.011392859,xv_a * 1.6134894,1.6972210915015435,xv_a*1.6134894,PySRFunction(X=>xv_a*1.6134894)
5,0.0026025577,(xv_a * 1.3908424) + 0.70024633,0.7382460316841922,xv_a*1.3908424 + 0.70024633,PySRFunction(X=>xv_a*1.3908424 + 0.70024633)
7,0.0025680233,(xv_a ^ 1.1609669) + 1.2863033,0.00667911662768555,xv_a**1.1609669 + 1.2863033,PySRFunction(X=>xv_a**1.1609669 + 1.2863033)
8,0.002567818,(xv_a + (cos(atan(xv_a)) + -0.14136463)) * 1.5326469,7.994795326305854e-05,(xv_a + cos(atan(xv_a)) - 0.14136463)*1.5326469,PySRFunction(X=>(xv_a + cos(atan(xv_a)) - 0.14136463)*1.5326469)
9,0.0025673157,(xv_a * ((sin(xv_a) * -0.037232444) + 1.2838024)) + 1.0302608,0.0001956326868770452,xv_a*(1.2838024 + sin(xv_a)*(-0.037232444)) + 1.0302608,PySRFunction(X=>xv_a*(1.2838024 + sin(xv_a)*(-0.037232444)) + 1.0302608)
13,0.0025670906,(0.7521262 ^ sin(xv_a)) + ((xv_a * 1.2933872) + (sin(xv_a) * 0.17933123)),2.192074282710287e-05,0.7521262**sin(xv_a) + xv_a*1.2933872 + sin(xv_a)*0.17933123,PySRFunction(X=>0.7521262**sin(xv_a) + xv_a*1.2933872 + sin(xv_a)*0.17933123)
15,0.002565719,(((cos(log(xv_a) ^ xv_a) * -0.013111689) + 1.3359016) * xv_a) + 0.8672562,0.00026722207514715863,xv_a*(1.3359016 - 0.013111689*cos(log(xv_a)**xv_a)) + 0.8672562,PySRFunction(X=>xv_a*(1.3359016 - 0.013111689*cos(log(xv_a)**xv_a)) + 0.8672562)
17,0.0025657187,(xv_a * 1.335912) + ((cos(log(xv_a) ^ xv_a) * (xv_a * -0.013109413)) + 0.8672252),5.846314768809948e-08,-0.013109413*xv_a*cos(log(xv_a)**xv_a) + 1.335912*xv_a + 0.8672252,PySRFunction(X=>-0.013109413*xv_a*cos(log(xv_a)**xv_a) + 1.335912*xv_a + 0.8672252)
27,0.0025655066,((log(xv_a) ^ 0.21795191) + 0.13552701) + ((xv_a + (cos(log(xv_a) ^ xv_a) * (log(xv_a) * -0.04460638))) * 1.2411809),8.267031273043666e-06,1.2411809*xv_a + log(xv_a)**0.21795191 - 0.055364586874142*log(xv_a)*cos(log(xv_a)**xv_a) + 0.13552701,PySRFunction(X=>1.2411809*xv_a + log(xv_a)**0.21795191 - 0.055364586874142*log(xv_a)*cos(log(xv_a)**xv_a) + 0.13552701)
29,0.0025654945,((log(xv_a) * ((cos(log(xv_a) ^ xv_a) * -0.05212291) + -0.37650108)) + 0.37474325) + ((xv_a * 1.2910496) + (log(xv_a) ^ 0.46496123)),2.3582142674203713e-06,1.2910496*xv_a + (-0.05212291*cos(log(xv_a)**xv_a) - 0.37650108)*log(xv_a) + log(xv_a)**0.46496123 + 0.37474325,PySRFunction(X=>1.2910496*xv_a + (-0.05212291*cos(log(xv_a)**xv_a) - 0.37650108)*log(xv_a) + log(xv_a)**0.46496123 + 0.37474325)
33,0.002565492,((((cos(log(xv_a) ^ xv_a) * -0.05338226) + -0.45188338) * log(xv_a)) + (((xv_a * 0.28165844) + (log(xv_a + -0.009008701) ^ 0.56100935)) + 0.47819167)) + xv_a,2.4361786958839663e-07,1.28165844*xv_a + (-0.05338226*cos(log(xv_a)**xv_a) - 0.45188338)*log(xv_a) + log(xv_a - 0.009008701)**0.56100935 + 0.47819167,PySRFunction(X=>1.28165844*xv_a + (-0.05338226*cos(log(xv_a)**xv_a) - 0.45188338)*log(xv_a) + log(xv_a - 0.009008701)**0.56100935 + 0.47819167)
39,0.0025653576,((xv_a * 1.397964) + ((log(xv_a) ^ 0.6448245) + ((((cos(log(xv_a) ^ xv_a) * 0.023688795) + 0.2687241) * log(1.5025934 / (xv_a ^ xv_a))) / log(xv_a)))) + 0.33037817,8.731497413248967e-06,1.397964*xv_a + (0.023688795*cos(log(xv_a)**xv_a) + 0.2687241)*log(1.5025934/xv_a**xv_a)/log(xv_a) + log(xv_a)**0.6448245 + 0.33037817,PySRFunction(X=>1.397964*xv_a + (0.023688795*cos(log(xv_a)**xv_a) + 0.2687241)*log(1.5025934/xv_a**xv_a)/log(xv_a) + log(xv_a)**0.6448245 + 0.33037817)
