complexity,loss,equation,score,sympy_format,lambda_format
1,0.3287051,4.9996505,0.0,4.99965050000000,PySRFunction(X=>4.99965050000000)
3,0.004322592,xv_a * 1.5530399,2.1656528869448013,xv_a*1.5530399,PySRFunction(X=>xv_a*1.5530399)
5,0.0025459598,(xv_a + 0.23913434) * 1.4470373,0.26467375589555553,(xv_a + 0.23913434)*1.4470373,PySRFunction(X=>(xv_a + 0.23913434)*1.4470373)
7,0.0025405998,((-0.36306012 / xv_a) - xv_a) * -1.5011264,0.0010537578256085687,(-xv_a - 0.36306012/xv_a)*(-1.5011264),PySRFunction(X=>(-xv_a - 0.36306012/xv_a)*(-1.5011264))
8,0.0025405996,(tanh(-0.3665913 / xv_a) - xv_a) * -1.5008672,7.872157114054895e-08,(-xv_a + tanh(-0.3665913/xv_a))*(-1.5008672),PySRFunction(X=>(-xv_a + tanh(-0.3665913/xv_a))*(-1.5008672))
9,0.0025403092,(xv_a * ((sin(xv_a) * -0.02012901) + 1.384069)) + 0.5411379,0.00011431025895051803,xv_a*(1.384069 + sin(xv_a)*(-0.02012901)) + 0.5411379,PySRFunction(X=>xv_a*(1.384069 + sin(xv_a)*(-0.02012901)) + 0.5411379)
11,0.0025401823,(((sin(xv_a / 1.0976268) * -0.14566466) + xv_a) * 1.2864426) - -0.8993978,2.4977898305038646e-05,(xv_a + sin(xv_a/1.0976268)*(-0.14566466))*1.2864426 - 1*(-0.8993978),PySRFunction(X=>(xv_a + sin(xv_a/1.0976268)*(-0.14566466))*1.2864426 - 1*(-0.8993978))
15,0.0025401402,(((sin(xv_a) * cos(2.6129677 / xv_a)) * -0.10237619) + (xv_a * 0.38103256)) + (xv_a - -0.5506691),4.143437744448283e-06,xv_a*0.38103256 + xv_a + sin(xv_a)*cos(2.6129677/xv_a)*(-0.10237619) - 1*(-0.5506691),PySRFunction(X=>xv_a*0.38103256 + xv_a + sin(xv_a)*cos(2.6129677/xv_a)*(-0.10237619) - 1*(-0.5506691))
17,0.0025375898,((((sin(xv_a / -0.010433648) * -0.0015978505) + xv_a) * 1.3915879) + ((xv_a * sin(xv_a)) * -0.017741414)) - -0.51779693,0.0005022717266315362,xv_a*sin(xv_a)*(-0.017741414) + (xv_a + sin(xv_a/(-0.010433648))*(-0.0015978505))*1.3915879 - 1*(-0.51779693),PySRFunction(X=>xv_a*sin(xv_a)*(-0.017741414) + (xv_a + sin(xv_a/(-0.010433648))*(-0.0015978505))*1.3915879 - 1*(-0.51779693))
18,0.0025375201,((xv_a + (atan(sin(xv_a / -0.010433815)) * -0.0019121785)) * 1.3915845) + (((sin(xv_a) * -0.017738089) * xv_a) - -0.5178057),2.7467385486240662e-05,sin(xv_a)*(-0.017738089)*xv_a + (xv_a + atan(sin(xv_a/(-0.010433815)))*(-0.0019121785))*1.3915845 - 1*(-0.5178057),PySRFunction(X=>sin(xv_a)*(-0.017738089)*xv_a + (xv_a + atan(sin(xv_a/(-0.010433815)))*(-0.0019121785))*1.3915845 - 1*(-0.5178057))
