complexity,loss,equation,score,sympy_format,lambda_format
1,0.33920175,4.9848833,0.0,4.98488330000000,PySRFunction(X=>4.98488330000000)
3,0.0042480533,xv_a * 1.5511154,2.190067116080325,xv_a*1.5511154,PySRFunction(X=>xv_a*1.5511154)
5,0.0024564744,(xv_a + 0.23591743) * 1.4464506,0.27386683985040094,(xv_a + 0.23591743)*1.4464506,PySRFunction(X=>(xv_a + 0.23591743)*1.4464506)
7,0.0024564737,((xv_a + 0.13953227) * 2.4464214) - xv_a,1.4248064210162038e-07,-xv_a + (xv_a + 0.13953227)*2.4464214,PySRFunction(X=>-xv_a + (xv_a + 0.13953227)*2.4464214)
8,0.0024552352,(xv_a * 1.4541594) + (1.3121272 - tanh(xv_a)),0.0005043051416374853,xv_a*1.4541594 - tanh(xv_a) + 1.3121272,PySRFunction(X=>xv_a*1.4541594 - tanh(xv_a) + 1.3121272)
10,0.0024551968,((tanh(xv_a * -1.0978245) + xv_a) * 1.4532677) + 1.7690369,7.820085890795057e-06,(xv_a + tanh(xv_a*(-1.0978245)))*1.4532677 + 1.7690369,PySRFunction(X=>(xv_a + tanh(xv_a*(-1.0978245)))*1.4532677 + 1.7690369)
11,0.0024542273,(((xv_a - sin(xv_a)) ^ 0.12685803) * xv_a) + 1.2512411,0.0003949546801640868,xv_a*(xv_a - sin(xv_a))**0.12685803 + 1.2512411,PySRFunction(X=>xv_a*(xv_a - sin(xv_a))**0.12685803 + 1.2512411)
13,0.0024541216,(((xv_a + sin(-0.049650393 - xv_a)) ^ 0.12737373) * xv_a) + 1.2421908,2.1534736460218104e-05,xv_a*(xv_a + sin(-xv_a - 0.049650393))**0.12737373 + 1.2421908,PySRFunction(X=>xv_a*(xv_a + sin(-xv_a - 0.049650393))**0.12737373 + 1.2421908)
15,0.002454057,(((xv_a + -0.3017422) - sin(xv_a + -0.64056873)) ^ 0.0945762) * (xv_a + 1.3834815),1.3161705241049666e-05,(xv_a + 1.3834815)*(xv_a - sin(xv_a - 0.64056873) - 0.3017422)**0.0945762,PySRFunction(X=>(xv_a + 1.3834815)*(xv_a - sin(xv_a - 0.64056873) - 0.3017422)**0.0945762)
17,0.002454006,(xv_a + 1.393679) * (((cos(xv_a + -0.6001794) - (sin(xv_a) * 1.5845084)) + xv_a) ^ 0.08813694),1.0391064662731456e-05,(xv_a + 1.393679)*(xv_a - 1.5845084*sin(xv_a) + cos(xv_a - 0.6001794))**0.08813694,PySRFunction(X=>(xv_a + 1.393679)*(xv_a - 1.5845084*sin(xv_a) + cos(xv_a - 0.6001794))**0.08813694)
18,0.00245397,((atan(xv_a) * ((xv_a + cos(xv_a + 0.044502385)) - sin(xv_a))) ^ 0.07476812) * (xv_a + 1.3923131),1.4669998386481664e-05,((xv_a - sin(xv_a) + cos(xv_a + 0.044502385))*atan(xv_a))**0.07476812*(xv_a + 1.3923131),PySRFunction(X=>((xv_a - sin(xv_a) + cos(xv_a + 0.044502385))*atan(xv_a))**0.07476812*(xv_a + 1.3923131))
19,0.002452196,(((((sin(xv_a) - cos(xv_a)) ^ 0.015336945) * (xv_a / 0.2579922)) ^ 0.10904557) * xv_a) - -0.7578724,0.0007231716486208682,xv_a*(xv_a*(sin(xv_a) - cos(xv_a))**0.015336945/0.2579922)**0.10904557 - 1*(-0.7578724),PySRFunction(X=>xv_a*(xv_a*(sin(xv_a) - cos(xv_a))**0.015336945/0.2579922)**0.10904557 - 1*(-0.7578724))
20,0.0024521335,((atan(sin(xv_a) - cos(xv_a)) ^ 0.0016797232) * (xv_a * ((xv_a / 0.25561365) ^ 0.10849315))) - -0.76083213,2.5487683893618848e-05,xv_a*(xv_a/0.25561365)**0.10849315*atan(sin(xv_a) - cos(xv_a))**0.0016797232 - 1*(-0.76083213),PySRFunction(X=>xv_a*(xv_a/0.25561365)**0.10849315*atan(sin(xv_a) - cos(xv_a))**0.0016797232 - 1*(-0.76083213))
29,0.0024491625,((((xv_a * (((((sin(xv_a / 0.0819715) + xv_a) * 5.032074) * (sin(xv_a) - cos(xv_a))) ^ 0.019373076) / 0.09676837)) + 2.8368204) ^ 0.08324159) * xv_a) - -0.64030164,0.00013470361779531026,xv_a*(xv_a*((xv_a + sin(xv_a/0.0819715))*5.032074*(sin(xv_a) - cos(xv_a)))**0.019373076/0.09676837 + 2.8368204)**0.08324159 - 1*(-0.64030164),PySRFunction(X=>xv_a*(xv_a*((xv_a + sin(xv_a/0.0819715))*5.032074*(sin(xv_a) - cos(xv_a)))**0.019373076/0.09676837 + 2.8368204)**0.08324159 - 1*(-0.64030164))
31,0.0024489467,(((((((sin(xv_a) - cos(xv_a)) * (sin(xv_a / 0.081974044) + (xv_a + -1.0461767))) * 5.0320735) ^ 0.019091489) * ((xv_a / 0.09710001) + 2.8368165)) ^ 0.083441205) * xv_a) - -0.63993907,4.405781727770501e-05,xv_a*(((sin(xv_a) - cos(xv_a))*(xv_a + sin(xv_a/0.081974044) - 1.0461767)*5.0320735)**0.019091489*(xv_a/0.09710001 + 2.8368165))**0.083441205 - 1*(-0.63993907),PySRFunction(X=>xv_a*(((sin(xv_a) - cos(xv_a))*(xv_a + sin(xv_a/0.081974044) - 1.0461767)*5.0320735)**0.019091489*(xv_a/0.09710001 + 2.8368165))**0.083441205 - 1*(-0.63993907))
