ID,dataset,orgfile,target,IndependentVars,ParameterNames,ParameterValues,FixedConstantValues,PySRFeatures,feature_name_map,complexity,loss,score,equation,sympy_format,restored_equation,orgpara_list,para_eq,para_list
P06,4,4.csv,omega,"[""k""]","[""d""]",[2.54245777],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",39,0.0025653576,8.731497413248967e-06,((xv_a * 1.397964) + ((log(xv_a) ^ 0.6448245) + ((((cos(log(xv_a) ^ xv_a) * 0.023688795) + 0.2687241) * log(1.5025934 / (xv_a ^ xv_a))) / log(xv_a)))) + 0.33037817,1.397964*xv_a + (0.023688795*cos(log(xv_a)**xv_a) + 0.2687241)*log(1.5025934/xv_a**xv_a)/log(xv_a) + log(xv_a)**0.6448245 + 0.33037817,1.397964*k + (0.023688795*cos(log(k)**k) + 0.2687241)*log(1.5025934/k**k)/log(k) + log(k)**0.6448245 + 0.33037817,"[0.330378170000000, 0.644824500000000, 1.39796400000000, -1, 0.268724100000000, 0.0236887950000000, 1.50259340000000]",k*p2 + p0 + (p4 + p5*cos(log(k)**k))*log(k)**p3*log(k**(k*p3)*p6) + log(k)**p1,"[p0, p1, p2, p3, p4, p5, p6]"
P06,4,4.csv,omega,"[""k""]","[""d""]",[2.54245777],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",33,0.002565492,2.4361786958839663e-07,((((cos(log(xv_a) ^ xv_a) * -0.05338226) + -0.45188338) * log(xv_a)) + (((xv_a * 0.28165844) + (log(xv_a + -0.009008701) ^ 0.56100935)) + 0.47819167)) + xv_a,1.28165844*xv_a + (-0.05338226*cos(log(xv_a)**xv_a) - 0.45188338)*log(xv_a) + log(xv_a - 0.009008701)**0.56100935 + 0.47819167,1.28165844*k + (-0.05338226*cos(log(k)**k) - 0.45188338)*log(k) + log(k - 0.009008701)**0.56100935 + 0.47819167,"[0.478191670000000, -0.00900870100000000, 0.561009350000000, 1.28165844000000, -0.451883380000000, -0.0533822600000000]",k*p3 + p0 + (p4 + p5*cos(log(k)**k))*log(k) + log(k + p1)**p2,"[p0, p1, p2, p3, p4, p5]"
P06,4,4.csv,omega,"[""k""]","[""d""]",[2.54245777],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",29,0.0025654945,2.3582142674203713e-06,((log(xv_a) * ((cos(log(xv_a) ^ xv_a) * -0.05212291) + -0.37650108)) + 0.37474325) + ((xv_a * 1.2910496) + (log(xv_a) ^ 0.46496123)),1.2910496*xv_a + (-0.05212291*cos(log(xv_a)**xv_a) - 0.37650108)*log(xv_a) + log(xv_a)**0.46496123 + 0.37474325,1.2910496*k + (-0.05212291*cos(log(k)**k) - 0.37650108)*log(k) + log(k)**0.46496123 + 0.37474325,"[0.374743250000000, 0.464961230000000, 1.29104960000000, -0.376501080000000, -0.0521229100000000]",k*p2 + p0 + (p3 + p4*cos(log(k)**k))*log(k) + log(k)**p1,"[p0, p1, p2, p3, p4]"
P06,4,4.csv,omega,"[""k""]","[""d""]",[2.54245777],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",27,0.0025655066,8.267031273043666e-06,((log(xv_a) ^ 0.21795191) + 0.13552701) + ((xv_a + (cos(log(xv_a) ^ xv_a) * (log(xv_a) * -0.04460638))) * 1.2411809),1.2411809*xv_a + log(xv_a)**0.21795191 - 0.055364586874142*log(xv_a)*cos(log(xv_a)**xv_a) + 0.13552701,1.2411809*k + log(k)**0.21795191 - 0.055364586874142*log(k)*cos(log(k)**k) + 0.13552701,"[0.135527010000000, 0.217951910000000, 1.24118090000000, -0.0553645868741420]",k*p2 + p0 + p3*log(k)*cos(log(k)**k) + log(k)**p1,"[p0, p1, p2, p3]"
P06,4,4.csv,omega,"[""k""]","[""d""]",[2.54245777],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",17,0.0025657187,5.846314768809948e-08,(xv_a * 1.335912) + ((cos(log(xv_a) ^ xv_a) * (xv_a * -0.013109413)) + 0.8672252),-0.013109413*xv_a*cos(log(xv_a)**xv_a) + 1.335912*xv_a + 0.8672252,-0.013109413*k*cos(log(k)**k) + 1.335912*k + 0.8672252,"[0.867225200000000, 1.33591200000000, -0.0131094130000000]",k*p1 + k*p2*cos(log(k)**k) + p0,"[p0, p1, p2]"
P06,4,4.csv,omega,"[""k""]","[""d""]",[2.54245777],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",15,0.002565719,0.00026722207514715863,(((cos(log(xv_a) ^ xv_a) * -0.013111689) + 1.3359016) * xv_a) + 0.8672562,xv_a*(1.3359016 - 0.013111689*cos(log(xv_a)**xv_a)) + 0.8672562,k*(1.3359016 - 0.013111689*cos(log(k)**k)) + 0.8672562,"[0.867256200000000, 1.33590160000000, -0.0131116890000000]",k*(p1 + p2*cos(log(k)**k)) + p0,"[p0, p1, p2]"
P06,4,4.csv,omega,"[""k""]","[""d""]",[2.54245777],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",13,0.0025670906,2.192074282710287e-05,(0.7521262 ^ sin(xv_a)) + ((xv_a * 1.2933872) + (sin(xv_a) * 0.17933123)),0.7521262**sin(xv_a) + xv_a*1.2933872 + sin(xv_a)*0.17933123,0.7521262**sin(k) + 1.2933872*k + 0.17933123*sin(k),"[0.752126200000000, 0.179331230000000, 1.29338720000000]",k*p2 + p0**sin(k) + p1*sin(k),"[p0, p1, p2]"
P06,4,4.csv,omega,"[""k""]","[""d""]",[2.54245777],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",9,0.0025673157,0.0001956326868770452,(xv_a * ((sin(xv_a) * -0.037232444) + 1.2838024)) + 1.0302608,xv_a*(1.2838024 + sin(xv_a)*(-0.037232444)) + 1.0302608,k*(1.2838024 - 0.037232444*sin(k)) + 1.0302608,"[1.03026080000000, 1.28380240000000, -0.0372324440000000]",k*(p1 + p2*sin(k)) + p0,"[p0, p1, p2]"
P06,4,4.csv,omega,"[""k""]","[""d""]",[2.54245777],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",8,0.002567818,7.994795326305854e-05,(xv_a + (cos(atan(xv_a)) + -0.14136463)) * 1.5326469,(xv_a + cos(atan(xv_a)) - 0.14136463)*1.5326469,1.5326469*k - 0.216662061939147 + 1.5326469/sqrt(k**2 + 1),"[-0.216662061939147, 1.53264690000000, 1, 2, -1/2]",k*p1 + p0 + p1*(k**p3 + p2)**p4,"[p0, p1, p2, p3, p4]"
P06,4,4.csv,omega,"[""k""]","[""d""]",[2.54245777],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",7,0.0025680233,0.00667911662768555,(xv_a ^ 1.1609669) + 1.2863033,xv_a**1.1609669 + 1.2863033,k**1.1609669 + 1.2863033,"[1.28630330000000, 1.16096690000000]",k**p1 + p0,"[p0, p1]"
